"","ID","gpa","cm1relf","cm1marf","cm1cohf","m1f8","m1f9","mx1j2","cm1hhinc","cm1hhimp","cm1inpov","cm1povca","m1e3a","cm2mint","cm2fdiff","cm2samp","cm1citsm","cm1bsex","m1a10","cm1fint","m1b0","cm1numb","innatsm","incitysm","m1a4","cf1fint","challengeID","cm1relf.1","cm1marf.1","cm1cohf.1","m1e3a.1","cm1numb.1","m1b0.1","m1f8.1","m1f9.1","mx1j2.1","cf1fint.1","cm2mint.1","cm2fdiff.1","cm2samp.1","cm1hhinc.1","cm1hhimp.1","cm1inpov.1","cm1povca.1","challengeID.1","cm1citsm.1","innatsm.1","m1a10.1","cm1fint.1","cm1bsex.1","m1a4.1","incitysm.1","cm1relf.2","cm1marf.2","cm1bsex.2","cm1numb.2","m1b0.2","cm1hhinc.2","cm1hhimp.2","cm1inpov.2","cm1povca.2","m1f8.2","m1f9.2","mx1j2.2","cf1fint.2","cm2mint.2","cm2fdiff.2","cm2samp.2","cm1cohf.2","m1e3a.2","challengeID.2","cm1citsm.2","m1a4.2","incitysm.2","m1a10.2","cm1fint.2","innatsm.2","incitysm.3","m1a4.3","m1a10.3","cm1bsex.3","cm1numb.3","m1b0.3","challengeID.3","cm1relf.3","cm1marf.3","cm1cohf.3","innatsm.3","m1e3a.3","cm1citsm.3","cm1fint.3","m1f8.3","m1f9.3"
"4",7,2.5,2,0,1,2,1,-5,0,4,1.370478106594,3,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,4,2,0,1,2,1,2,2,1,-5,1,1,0,-7,0,4,1.370478106594,3,4,1,1,2,1,1,2,1,2,0,1,1,2,0,4,1.370478106594,3,2,1,-5,1,1,0,-7,1,2,4,1,2,1,2,1,1,1,2,2,1,1,2,4,2,0,1,1,2,1,1,2,1
"6",9,2.25,2,0,1,1,1,-5,63343.1960742423,4,2.81404957520035,4,1,1,0,-7,1,2,2,1,2,1,1,1,2,1,6,2,0,1,1,1,2,1,1,-5,1,1,0,-7,63343.1960742423,4,2.81404957520035,4,6,1,1,2,1,2,2,1,2,0,2,1,2,63343.1960742423,4,2.81404957520035,4,1,1,-5,1,1,0,-7,1,1,6,1,2,1,2,1,1,1,2,2,2,1,2,6,2,0,1,1,1,1,1,1,1
"7",10,3.25,2,0,1,2,2,-5,47867.5036788221,4,2.59537624945864,5,2,1,0,-7,1,2,2,1,2,1,1,1,2,1,7,2,0,1,2,1,2,2,2,-5,1,1,0,-7,47867.5036788221,4,2.59537624945864,5,7,1,1,2,1,2,2,1,2,0,2,1,2,47867.5036788221,4,2.59537624945864,5,2,2,-5,1,1,0,-7,1,2,7,1,2,1,2,1,1,1,2,2,2,1,2,7,2,0,1,1,2,1,1,2,2
"8",13,2.75,3,0,0,2,-2,-5,15479.2421186035,4,1.15991861786836,1,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,8,3,0,0,2,1,2,2,-2,-5,1,1,0,-7,15479.2421186035,4,1.15991861786836,1,8,1,1,2,1,1,2,1,3,0,1,1,2,15479.2421186035,4,1.15991861786836,1,2,-2,-5,1,1,0,-7,0,2,8,1,2,1,2,1,1,1,2,2,1,1,2,8,3,0,0,1,2,1,1,2,-2
"9",14,3.25,1,1,0,1,1,-5,24464.3429396194,4,1.2780969711847,3,1,1,0,-7,1,1,1,1,2,1,0,1,1,1,9,1,1,0,1,1,2,1,1,-5,1,1,0,-7,24464.3429396194,4,1.2780969711847,3,9,1,0,1,1,1,1,1,1,1,1,1,2,24464.3429396194,4,1.2780969711847,3,1,1,-5,1,1,0,-7,0,1,9,1,1,1,1,1,0,1,1,1,1,1,2,9,1,1,0,0,1,1,1,1,1
"10",16,2,2,0,1,2,2,-5,37824.2166103874,2,4.2556653320499,5,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,10,2,0,1,2,1,2,2,2,-5,1,1,0,-7,37824.2166103874,2,4.2556653320499,5,10,1,1,2,1,1,2,1,2,0,1,1,2,37824.2166103874,2,4.2556653320499,5,2,2,-5,1,1,0,-7,1,2,10,1,2,1,2,1,1,1,2,2,1,1,2,10,2,0,1,1,2,1,1,2,2
"11",18,2.25,3,0,0,-2,-2,-5,11595.4754787632,4,2.0093097875215,3,1,1,0,-7,1,1,2,1,2,1,0,1,2,1,11,3,0,0,1,1,2,-2,-2,-5,1,1,0,-7,11595.4754787632,4,2.0093097875215,3,11,1,0,2,1,1,2,1,3,0,1,1,2,11595.4754787632,4,2.0093097875215,3,-2,-2,-5,1,1,0,-7,0,1,11,1,2,1,2,1,0,1,2,2,1,1,2,11,3,0,0,0,1,1,1,-2,-2
"13",23,2.5,1,1,0,1,1,-5,27479.6842341067,4,2.53113714302753,4,1,1,0,-7,1,1,1,1,2,1,0,1,1,1,13,1,1,0,1,1,2,1,1,-5,1,1,0,-7,27479.6842341067,4,2.53113714302753,4,13,1,0,1,1,1,1,1,1,1,1,1,2,27479.6842341067,4,2.53113714302753,4,1,1,-5,1,1,0,-7,0,1,13,1,1,1,1,1,0,1,1,1,1,1,2,13,1,1,0,0,1,1,1,1,1
"14",24,3.25,1,1,0,2,1,-5,25756.5256016502,4,2.47698487576554,3,2,1,0,-7,1,1,1,1,2,1,1,1,1,1,14,1,1,0,2,1,2,2,1,-5,1,1,0,-7,25756.5256016502,4,2.47698487576554,3,14,1,1,1,1,1,1,1,1,1,1,1,2,25756.5256016502,4,2.47698487576554,3,2,1,-5,1,1,0,-7,0,2,14,1,1,1,1,1,1,1,1,1,1,1,2,14,1,1,0,1,2,1,1,2,1
"16",30,3,3,0,0,1,-2,-5,7318.68960204087,4,0.904494445923967,1,2,1,0,-7,1,1,2,1,2,1,0,1,2,1,16,3,0,0,2,1,2,1,-2,-5,1,1,0,-7,7318.68960204087,4,0.904494445923967,1,16,1,0,2,1,1,2,1,3,0,1,1,2,7318.68960204087,4,0.904494445923967,1,1,-2,-5,1,1,0,-7,0,2,16,1,2,1,2,1,0,1,2,2,1,1,2,16,3,0,0,0,2,1,1,1,-2
