"","Code","Description"
"1","t5a1year","A1YEAR. Today's date, year"
"2","t5a3start","A3START. Academic year you taught this child: start"
"3","t5a3end","A3END. Academic year you taught this child: end"
"4","t5a4","A4. Child in your class since beginning of academic year"
"5","t5a5","A5. Number of months child was in your class"
"6","t5a6","A6. Your school is a public school"
"7","t5a7","A7. Type of public school"
"8","t5a8","A8. Type of non-public school"
"9","t5a9a","A9A. Regular kindergarten taught in school"
"10","t5a9b","A9B. Ungraded classes taught in school"
"11","t5a9c","A9C. Programs for special needs children taught in school"
"12","t5a9d","A9D. Prekindergarten taught in school"
"13","t5a9e","A9E. Transitional (readiness) kindergarten taught in school"
"14","t5a9f","A9F. Transitional 1st (prefirst) grade taught in school"
"15","t5a9g","A9G. 1st grade taught in school"
"16","t5a9h","A9H. 2nd grade taught in school"
"17","t5a9i","A9I. 3rd grade taught in school"
"18","t5a9j","A9J. 4th grade taught in school"
"19","t5a9k","A9K. 5th grade taught in school"
"20","t5a9l","A9L. 6th grade taught in school"
"21","t5a9m","A9M. 7th grade taught in school"
"22","t5a9n","A9N. 8th grade taught in school"
"23","t5a9o","A9O. 9th grade taught in school"
"24","t5a9p","A9P. 10th grade taught in school"
"25","t5a9q","A9Q. 11th grade taught in school"
"26","t5a9r","A9R. 12th grade taught in school"
"27","t5a10","A10. Description of classroom where you taught child"
"28","t5b1a","B1A. Child controls temper in conflict with peers"
"29","t5b1b","B1B. Child compromises in conflict by changing own ideas"
"30","t5b1c","B1C. Child responds appropriately to peer pressure"
"31","t5b1d","B1D. Child says nice things about self/others when appropriate"
"32","t5b1e","B1E. Child invites others to join activities"
"33","t5b1f","B1F. Child uses free time in an acceptable way"
"34","t5b1g","B1G. Child finishes class assignments with time limits"
"35","t5b1h","B1H. Child makes friends easily"
"36","t5b1i","B1I. Child responds appropriately to teasing by peers"
"37","t5b1j","B1J. Child controls temper in conflict with adults"
"38","t5b1k","B1K. Child receives criticism well"
"39","t5b1l","B1L. Child uses time appropriately while waiting for help"
"40","t5b1m","B1M. Child produces correct schoolwork"
"41","t5b1n","B1N. Child accepts peers' ideas for group activities"
"42","t5b1o","B1O. Child gives compliments to peers"
"43","t5b1p","B1P. Child follows your directions"
"44","t5b1q","B1Q. Child puts work materials or school property away"
"45","t5b1r","B1R. Child cooperates with peers without prompting"
"46","t5b1s","B1S. Child joins an ongoing activity or group without being told"
"47","t5b1t","B1T. Child responds appropriately when pushed or hit by children"
"48","t5b1u","B1U. Child ignores peer distractions when doing class work"
"49","t5b1v","B1V. Child keeps desk clean and neat without being reminded"
"50","t5b1w","B1W. Child attends to your instructions"
"51","t5b1x","B1X. Child easily makes transition from one activity to another"
"52","t5b1y","B1Y. Child gets along with people who are different"
"53","t5b1z","B1Z. Child expresses own feelings/opinions/ideas without putting down others"
"54","t5b1aa","B1AA. Child forms and maintains friendships"
"55","t5b1ab","B1AB. Child respects the property rights of others"
"56","t5b1ac","B1AC. Child is sensitive to the feelings of others"
"57","t5b1ad","B1AD. Child comforts or helps other children"
"58","t5b2a","B2A. Child pays attention well"
"59","t5b2b","B2B. Child persists in completing tasks"
"60","t5b2c","B2C. Child works independently"
"61","t5b2d","B2D. Child easily adapts to change in routine"
"62","t5b2e","B2E. Child keeps belongings organized"
"63","t5b2f","B2F. Child shows eagerness to learn new things"
"64","t5b2g","B2G. Child follows classroom rules"
"65","t5b3a","B3A. Child fights with others"
"66","t5b3b","B3B. Child has low self-esteem"
"67","t5b3c","B3C. Child threatens or bullies others"
"68","t5b3d","B3D. Child appears lonely"
"69","t5b3e","B3E. Child shows anxiety about being with a group of children"
"70","t5b3f","B3F. Child is easily embarrassed"
"71","t5b3g","B3G. Child argues with others"
"72","t5b3h","B3H. Child talks back to adults when corrected"
"73","t5b3i","B3I. Child gets angry easily"
"74","t5b3j","B3J. Child has temper tantrums"
"75","t5b3k","B3K. Child likes to be alone"
"76","t5b3l","B3L. Child acts sad or depressed"
"77","t5b4a","B4A. Child is inattentive, easily distracted"
"78","t5b4b","B4B. Child is defiant"
"79","t5b4c","B4C. Child restless in the 'squirmy' sense"
"80","t5b4d","B4D. Child forgets things he or she already learned"
