"","Codes","Description","Decision"
"1","m5j1","J1. Total household income before taxes/deductions in past 12 months","Confirmed"
"2","f5a4","A4. Relationship with child's biological mother now","Confirmed"
"3","f5g35","G35. Age when you had sexual intercourse for the first time","Tentative"
"4","f5i13","i13. how much you earn in that job, before taxes","Confirmed"
"5","f5j1","J1. Total household income before taxes/deductions in past 12 months","Confirmed"
"6","f5j6c","J6C. Value of vehicle if sold","Confirmed"
"7","f5k7","K7. Number of child's close friends you know by sight and first and last name","Confirmed"
"8","hv5_ppvtss","PPVT standard score","Confirmed"
"9","hv5_wj9ss","Woodcock Johnson Test 9 standard score","Confirmed"
"10","hv5_wj10ss","Woodcock Johnson Test 10 standard score","Confirmed"
"11","hv5_wj9raw","Woodcock Johnson Test 9 raw score","Confirmed"
"12","cm5hhinc","Constructed - Mother's Household income (with imputed values)","Confirmed"
"13","cf5hhinc","Constructed - Father's Household income (with imputed values)","Confirmed"
"14","cf5hhincb","Constructed - Household income mother report for married/cohab if available (wit","Confirmed"
"15","cm5povco","Constructed - Mother's household income/poverty threshold at 9-year","Confirmed"
"16","cf5povco","Constructed - father's household income/poverty threshold at 9-year","Confirmed"
"17","cf5povcob","Constructed - father's household income/poverty threshold at 9-year, mother repo","Confirmed"
"18","k5g2b","G2B. I often argue with other kids","Tentative"
"19","k5g2h","G2H. It's hard for me to finish my schoolwork","Confirmed"
"20","k5g2i","G2I. I worry about doing well in school","Confirmed"
"21","m5b22b","B22B. How often father buys toys for child","Tentative"
"22","f5j4a","J4A. Name on bank account","Confirmed"
"23","f5j6f","J6F. You or your wife/partner have other loans","Confirmed"
"24","f5k14b","K14B. In past month, you played sports or did outdoor activities with child","Tentative"
"25","f5k14h","K14H. In past month, you talked with child about his/her day","Confirmed"
"26","p5i31h","I31H. Frequency father talked about day with child in past month","Tentative"
"27","p5j4b","J4B. Child receives free or reduced price lunch","Confirmed"
"28","p5q3bw","Q3BW. Child is inattentive or easily distracted","Confirmed"
"29","p5q3cg","Q3CG. Child has sudden changes in mood or feelings","Tentative"
"30","t5b1d","B1D. Child says nice things about self/others when appropriate","Confirmed"
"31","t5b1f","B1F. Child uses free time in an acceptable way","Confirmed"
"32","t5b1g","B1G. Child finishes class assignments with time limits","Confirmed"
"33","t5b1m","B1M. Child produces correct schoolwork","Confirmed"
"34","t5b1p","B1P. Child follows your directions","Confirmed"
"35","t5b1u","B1U. Child ignores peer distractions when doing class work","Confirmed"
"36","t5b1v","B1V. Child keeps desk clean and neat without being reminded","Confirmed"
"37","t5b1w","B1W. Child attends to your instructions","Confirmed"
"38","t5b2b","B2B. Child persists in completing tasks","Confirmed"
"39","t5b2c","B2C. Child works independently","Confirmed"
"40","t5b2e","B2E. Child keeps belongings organized","Confirmed"
"41","t5b4c","B4C. Child restless in the 'squirmy' sense","Confirmed"
"42","t5b4d","B4D. Child forgets things he or she already learned","Confirmed"
"43","t5b4f","B4F. Child actively defies/refuses to comply with adults' requests","Confirmed"
"44","t5b4i","B4I. Child cannot remain still","Confirmed"
"45","t5b4l","B4L. Child fidgets with hands or feet or squirms in seat","Tentative"
"46","t5b4n","B4N. Child has a short attention span","Confirmed"
"47","t5b4r","B4R. Child lacks interest in schoolwork","Confirmed"
"48","t5b4y","B4Y. Child fails to finish things he or she starts","Confirmed"
"49","t5b4z","B4Z. Child does not follow through on instructions and fails to finish homework","Confirmed"
"50","t5c13a","C13A. Child's language and literacy skills","Confirmed"
"51","t5c13b","C13B. Child's science and social studies","Confirmed"
"52","t5c13c","c13C. Child's mathematical skills","Confirmed"
"53","t5c16","C16. Frequency child works to best of her/his ability","Tentative"
"54","t5e11","E11. Number of nights homework assigned in a typical week","Confirmed"
"55","cf5edu","Father's education: year 9","Confirmed"
"56","cf5povca","Constructed - Father's poverty category at 9-year","Confirmed"
"57","cf5povcab","Constructed - Father's poverty category at 9-year, mother reports for married/co","Confirmed"
"58","hv5_ppvtae","PPVT age equivalency","Confirmed"
"59","hv5_ppvtpr","PPVT percentile rank","Confirmed"
"60","hv5_wj9pr","Woodcock Johnson Test 9 percentile rank","Confirmed"
"61","hv5_wj9ae","Woodcock Johnson Test 9 age equivalency","Confirmed"
"62","hv5_wj10pr","Woodcock Johnson Test 10 percentile rank","Confirmed"
"63","hv5_wj10ae","Woodcock Johnson Test 10 age equivalency","Confirmed"
