"","Code","Description"
"1","k5conf6","CONF6. Child has seen his/her biomother in the last year"
"2","k5conf9","CONF9. Child has seen his/her biomother in the last year"
"3","k5conf10","CONF10. Child has seen his/her biofather in the last year"
"4","k5a1a","A1A. How often PCG knows what you do during your free time"
"5","k5a1b","A1B. How often PCG knows which friends you hang out with during free time"
"6","k5a1c","A1C. How often PCG asks about things that happened when you are not with her/him"
"7","k5a1d","A1D. How often PCG makes you tell where you are going and with whom"
"8","k5a1e","A1E. How often PCG knows what you spend money on"
"9","k5a2a","A2A. Your mom talks over important decisions with you"
"10","k5a2b","A2B. Your mom listens to your side of an argument"
"11","k5a2c","A2C. Your mom spends enough time with you"
"12","k5a2d","A2D. Your mom misses events or activities that are important to you"
"13","k5a2e","A2E. How close you feel to your mom"
"14","k5a2f","A2F. How well you and your mom share ideas or talk about things that matter"
"15","k5a3a","A3A. Your dad talks over important decisions with you"
"16","k5a3b","A3B. Your dad listens to your side of an argument"
"17","k5a3c","A3C. Your dad spends enough time with you"
"18","k5a3d","A3D. Your dad misses events or activities that are important to you"
"19","k5a3e","A3E. How close you feel to your dad"
"20","k5a3f","A3F. How well you and your dad share ideas or talk about things that matter"
"21","k5a4a","A4A. Social dad talks over important decisions with you"
"22","k5a4b","A4B. Social dad listens to your side of an argument"
"23","k5a4c","A4C. Social dad spends enough time with you"
"24","k5a4d","A4D. Social dad misses events or activities that are important to you"
"25","k5a4e","A4E. How close you feel to social dad"
"26","k5a4f","A4F. How well you and social dad share ideas or talk about things that matter"
"27","k5b1a","B1A. Frequency mom explained why something you did was wrong"
"28","k5b1b","B1B. Frequency mom sent you to your room, took away privileges, or grounded you"
"29","k5b1c","B1C. Frequency mom shouted, yelled, screamed, swore or cursed at you"
"30","k5b1d","B1D. Frequency mom spanked or hit you"
"31","k5b2a","B2A. Frequency dad explained why something you did was wrong"
"32","k5b2b","B2B. Frequency dad sent you to your room, took away privileges, or grounded you"
"33","k5b2c","B2C. Frequency dad shouted, yelled, screamed, swore or cursed at you"
"34","k5b2d","B2D. Frequency dad spanked or hit you"
"35","k5b3a","B3A. Frequency social dad explained why something you did was wrong"
"36","k5b3b","B3B. Frequency social dad sent you to your room, took away privileges, or ground"
"37","k5b3c","B3C. Frequency social dad shouted, yelled, screamed, swore or cursed at you"
"38","k5b3d","B3D. Frequency social dad spanked or hit you"
"39","k5c0","C0. You have brothers and/or sisters living with you"
"40","k5c1","C1. Frequency you try to make siblings feel better"
"41","k5c1a","C1A. Frequency you start fights or are mean to siblings"
"42","k5c1b","C1B. Birth mother has other children"
"43","k5c2","C2. Frequency you feel mom treats her other children better than she treats you"
"44","k5c3","C3. Frequency you feel jealous about attention mother gives her other children"
"45","k5c3a","C3A. Biological father has other children"
"46","k5c4","C4. Frequency you feel dad treats his other children better than he treats you"
"47","k5c5","C5. Frequency you feel jealous about how dad treats his other children"
"48","k5c5a","C5A. Social dad has any children living with you"
"49","k5c6","C6. Frequency you feel social dad treats his other children better than you"
"50","k5c7","C7. Frequency you feel jealous about social dad's attention to his other childre"
"51","k5d1a","D1A. Amount of time on a weekday you hang out with friends"
"52","k5d1b","D1B. Amount of time on a weekday you hang out with family members"
"53","k5d1c","D1C. Amount of time on a weekday you do household chores or help at home"
"54","k5d1d","D1D. Amount of time on a weekday you do school work on the computer"
"55","k5d1e","D1E. Amount of time on a weekday you chat with friends on the computer"
"56","k5d1f","D1F. Amount of time on a weekday you play computer games on the computer or TV"
"57","k5d1g","D1G. Amount of time on a weekday you watch TV and movies"
"58","k5d1h","D1H. Amount of time on a weekday you attend practice/lessons/after-school progra"
"59","k5d2","D2. People you are usually with right after school"
"60","k5e1a","E1A. Frequency you felt a part of your school"
"61","k5e1b","E1B. Frequency you felt close to people at your school"
"62","k5e1c","E1C. Frequency you felt happy to be at your school"
"63","k5e1d","E1D. Frequency you felt safe at your school"
"64","k5e2a","E2A. Frequency kids picked on you or said mean things to you"
"65","k5e2b","E2B. Frequency kids hit you"
"66","k5e2c","E2C. Frequency kids take your things, like your money or lunch"
"67","k5e2d","E2D. Frequency kids purposely left you out of activities"
"68","k5f1a","F1A. Purposely damaged or destroyed property"
"69","k5f1b","F1B. Taken or stolen something"
"70","k5f1c","F1C. Taken money at home"
"71","k5f1d","F1D. Cheated on a school test"
"72","k5f1e","F1E. Had a fist fight with another person"
"73","k5f1f","F1F. Hurt an animal on purpose"
"74","k5f1g","F1G. Gone into somebody's garden/yard/house/garage when not supposed to"
"75","k5f1h","F1H. Ran away from home"
"76","k5f1i","F1I. Skipped school without an excuse"
"77","k5f1j","F1J. Secretly taken a sip of wine, beer, or liquor"
"78","k5f1k","F1K. Smoked marijuana, grass, pot, weed"
"79","k5f1l","F1L. Smoked a cigarette or used tobacco"
"80","k5f1m","F1M. Been suspended or expelled from school"
"81","k5f1n","F1N. Written things or sprayed paint on walls or sidewalks or cars"
